CreditHistory	Duration	Age	GoodBad
A34	18	48	1
A34	20	24	1
A34	12	35	1
A32	12	24	1
A32	36	24	2
A32	6	26	1
A34	12	65	1
A31	42	55	1
A30	15	26	2
A32	8	26	1
A32	6	28	1
A34	36	24	2
A32	48	54	2
A32	48	46	2
A33	36	54	1
A32	6	62	1
A34	6	24	1
A32	36	43	1
A32	18	26	2
A32	12	27	1
A32	12	24	1
A32	36	41	2
A34	8	47	1
A34	18	35	1
A34	21	30	1
A34	18	33	2
A30	18	36	2
A32	36	47	2
A33	48	38	1
A33	24	44	1
A32	18	23	2
A30	45	29	2
A32	24	42	1
A32	15	25	2
A30	12	48	2
A32	12	21	1
A32	4	23	1
A34	24	63	1
A34	24	46	1
A32	36	29	2
A33	21	28	1
A32	18	23	2
A31	24	50	1
A32	18	47	1
A32	21	35	1
A32	18	68	2
A32	24	28	1
A32	9	59	1
A32	12	57	2
A34	20	33	2
A34	24	43	1
A34	15	35	1
A31	18	32	2
A33	36	45	1
A32	24	33	1
A32	10	40	1
A34	15	28	1
A32	15	29	2
A32	9	26	1
A34	24	27	1
A33	18	28	2
A32	24	35	2
A34	27	32	1
A32	10	25	2
A32	15	20	1
A32	18	27	1
A34	12	42	1
A32	36	37	1
A32	12	24	1
A33	36	40	1
A34	6	46	1
A34	24	26	1
A32	15	24	1
A32	12	29	1
A34	11	40	1
A31	18	36	1
A32	36	28	1
A32	9	27	2
A34	30	36	1
A32	24	38	1
A32	24	48	1
A34	30	36	1
A34	18	65	1
A32	24	43	2
A32	12	53	2
A34	24	34	1
A32	48	23	2
A34	36	34	1
A31	28	40	1
A34	27	43	1
A34	15	46	1
A34	12	38	1
A34	36	34	1
A34	18	29	1
A33	36	31	1
A32	21	28	1
A34	12	35	1
A32	15	33	1
A32	18	42	2
A34	16	43	2
A34	20	44	1
A34	36	42	1
A32	15	40	1
A32	24	36	1
A32	12	20	1
A32	21	24	1
A32	36	27	1
A33	15	46	1
A32	9	33	1
A33	36	34	1
A34	24	25	2
A32	30	25	1
A32	11	28	1
A31	24	31	2
A30	48	32	2
A32	10	32	1
A32	6	68	2
A32	24	33	2
A32	24	39	2
A34	18	28	1
A33	48	37	1
A32	9	22	2
A32	12	30	1
A31	24	55	2
A31	12	46	2
A34	18	21	1
A32	48	39	2
A32	30	58	1
A33	12	43	1
A32	24	24	1
A32	9	22	2
A34	9	30	1
A34	12	42	1
A32	12	23	1
A33	30	30	2
A32	9	28	2
A32	6	30	1
A32	60	42	2
A34	24	46	1
A32	12	45	1
A32	10	31	1
A32	24	31	1
A34	4	42	1
A32	15	46	1
A30	48	30	1
A31	24	30	2
A32	12	38	1
A32	18	43	2
A32	24	31	2
A34	18	40	1
A33	36	24	2
A32	24	28	2
A32	36	26	2
A32	12	29	1
A34	24	57	1
A34	30	49	1
A34	9	37	1
A32	28	45	2
A32	24	30	1
A34	6	30	1
A33	21	47	1
A32	15	29	1
A32	24	35	2
A32	6	22	1
A32	30	26	1
A34	27	23	2
A32	15	54	1
A32	42	29	1
A34	11	40	1
A32	15	22	1
A32	24	43	1
A31	24	29	2
A32	60	36	2
A34	30	33	1
A32	24	57	1
A32	6	64	1
A33	18	42	1
A33	24	47	2
A31	15	25	2
A34	30	49	2
A32	48	33	2
A32	21	28	1
A32	36	26	2
A34	24	30	1
A34	15	25	1
A30	42	33	1
A32	13	64	1
A32	24	29	1
A34	24	48	1
A34	12	37	1
A31	15	34	1
A32	18	23	1
A32	36	30	1
A32	12	50	1
A32	12	31	1
A32	30	40	1
A32	12	38	1
A32	45	23	2
A34	45	27	1
